,nsMACD_SIGNAL,trend_macd_signal,nsMACD_OSC,trend_macd_diff,nsRSI,momentum_rsi,nsSTO_K,momentum_stoch,nsSTO_D,nsBOL_UP,volatility_bbh,nsBOL_DOWN,volatility_bbl,nsBOL_WIDTH,volatility_wid
40,132341.49573,-1579.275690981541,529367.45014,-46.70439692178729,48.2039893888,49.43769868083175,42.85714,42.857142857142854,22.92769,8312869.91316,8312869.913169046,8285230.08684,8285230.086830954,27639.82632,27639.826338091865
41,132744.31268,-1149.209966621645,530960.32763,1720.2628974395843,60.9159060381,62.64369584138913,86.04651,86.04651162790698,45.43702,8318159.6678,8318159.667808982,8283240.3322,8283240.332191018,34919.3356,34919.335617963225
42,132907.25427,-302.6503395980627,531596.1396,3386.2385080943286,64.6528282442,66.42158517472822,77.04918,77.04918032786885,68.65094,8325397.34498,8325397.344976788,8280202.65502,8280202.655023212,45194.68996,45194.68995357677
43,132878.11468,729.3625117003968,531466.24786,4128.051405193838,63.3482701106,65.00562529443668,73.77049,73.77049180327869,78.95539,8330347.20024,8330347.200238925,8279452.79976,8279452.799761075,50894.40048,50894.40047785081
44,132976.16026,1917.5781631904883,531847.51851,4752.862605960365,65.5913731048,67.26048677822754,83.60656,83.60655737704919,78.14208,8336065.56674,8336065.566741808,8278234.43326,8278234.433258192,57831.13348,57831.133483616635
45,133233.59901,3392.310582555626,532867.64387,5898.929677460547,70.7348712344,72.37274500389378,87.01299,87.01298701298701,81.46335,8345160.5492,8345160.549194771,8275239.4508,8275239.450805229,69921.0984,69921.09838954173
46,133075.93305,4802.0423294140255,532228.43305,5638.926987433597,64.26858822,65.48973360193006,74.02597,74.02597402597402,81.54851,8349864.99696,8349864.996960691,8275835.00304,8275835.003039309,74029.99392,74029.99392138235
47,133205.25997,6213.822948189247,532738.30484,5647.122475100887,66.8772746452,68.10324621404803,84.41558,84.41558441558442,81.81818,8355786.14332,8355786.14331248,8275513.85668,8275513.85668752,80272.28664,80272.2866249606
48,133190.59972,7522.762911915057,532673.68091,5235.7598549032355,66.2263996413,67.41596614816959,83.11688,83.11688311688312,80.51948,8360699.88236,8360699.882352778,8275700.11764,8275700.117647222,84999.76472,84999.76470555551
49,133127.97008,8617.663987398875,532417.89174,4379.6043019352655,63.5616359719,64.60734908097481,77.92208,77.92207792207792,81.81818,8364326.23656,8364326.236557048,8275873.76344,8275873.763442952,88452.47312,88452.47311409563
50,133064.95371,9437.554047520855,532161.43874,3279.5602404879173,60.9217531457,61.83316100936814,72.72727,72.72727272727273,77.92208,8366876.22,8366876.220005706,8277223.78,8277223.779994294,89652.44,89652.4400114119
51,133161.43946,10116.308940338251,532543.5641,2715.0195712695822,63.3787186732,64.30882002471428,80.51948,80.51948051948052,77.05628,8370086.51976,8370086.519763948,8278113.48024,8278113.480236052,91973.03952,91973.03952789679
52,133002.01069,10488.420317522847,531903.31338,1488.445508738383,56.9517723948,57.60256741913486,67.53247,67.53246753246754,73.59307,8371414.39332,8371414.393327825,8280385.60668,8280385.606672175,91028.78664,91028.78665564954
53,133001.47151,10624.921555010895,531900.65812,546.0049499521829,56.9517723948,57.60256741913486,67.53247,67.53246753246754,71.86147,8372184.98616,8372184.98616913,8283615.01384,8283615.01383087,88569.97232,88569.97233825922
54,133032.3198,10614.283787521954,532025.9886,-42.551069955761704,57.9410518017,58.60387705968851,65.67164,65.67164179104478,66.91219,8373351.7123,8373351.712295297,8285748.2877,8285748.287704703,87603.4246,87603.4245905932
55,132919.65242,10376.106780137645,531578.65242,-952.7080295372398,53.3222934645,53.813468526725025,23.07692,23.076923076923077,52.09368,8373612.52744,8373612.527436338,8288187.47256,8288187.472563662,85425.05488,85425.05487267673
56,132981.80983,10047.966635245839,531832.75214,-1312.5605795672254,55.5050064743,56.02551186443293,27.77778,27.77777777777778,38.84211,8373888.40418,8373888.40417315,8291111.59582,8291111.59582685,82776.80836,82776.80834629945
57,132947.86254,9625.830806895725,531704.32763,-1688.5433134004543,54.1417605027,54.61699904436129,9.67742,9.67741935483871,20.17737,8371369.99452,8371369.994523548,8298330.00548,8298330.005476452,73039.98904,73039.98904709518
58,133025.09544,9224.742227079427,532022.77493,-1604.3543192651923,56.9860640956,57.49406139463442,23.33333,23.333333333333332,20.26284,8368668.94334,8368668.943330417,8305831.05666,8305831.056669583,62837.88668,62837.886660834774
59,133038.03704,8852.80074345774,532085.89458,-1487.7659344867516,57.5531110543,58.06663387233934,32.0,32.0,21.67025,8363064.43516,8363064.435164354,8316635.56484,8316635.564835646,46428.87032,46428.87032870762
60,132938.84402,8402.722062875047,531702.5698,-1800.3147223307715,53.0354646818,53.41722131066416,8.33333,8.333333333333334,21.22222,8356165.13048,8356165.130486794,8327234.86952,8327234.869513206,28930.26096,28930.260973587632
61,132855.71439,7828.338786112887,531384.01139,-2297.5331070486427,49.5452745161,49.83610087016683,0.0,0.0,13.44444,8355156.86842,8355156.868428422,8328943.13158,8328943.131571578,26213.73684,26213.736856844276
62,132900.73077,7236.1747973963975,531577.06838,-2368.6559548659607,51.6032256663,51.91890264631053,20.0,20.0,9.44444,8355156.86842,8355156.868428422,8328943.13158,8328943.131571578,26213.73684,26213.736856844276
63,132834.33975,6583.598047781168,531323.29914,-2610.3069984609174,48.7481675868,48.997737564229624,7.69231,7.6923076923076925,9.23077,8355358.57934,8355358.579343092,8328541.42066,8328541.420656908,26817.15868,26817.158686183393
64,132831.8718,5912.359549895221,531324.88034,-2684.9539915437936,48.7481675868,48.997737564229624,8.0,8.0,11.89744,8355741.19446,8355741.194452899,8327358.80554,8327358.805547101,28382.38892,28382.388905797154
65,132957.1859,5378.771525233287,531836.67806,-2134.3520986477397,54.5773771519,54.885449975348216,62.5,62.5,26.0641,8353554.29616,8353554.296154025,8327945.70384,8327945.703845975,25608.59232,25608.59230805002
66,132731.84402,4723.810584739038,530944.68376,-2619.8437619769957,44.943705021,45.07821483966456,4.7619,4.761904761904762,25.0873,8354100.95816,8354100.958156165,8325399.04184,8325399.041843835,28701.91632,28701.91631232947
67,132602.54772,3888.707739271001,530435.46154,-3340.4113818721485,40.5400787459,40.61245617767881,0.0,0.0,22.42063,8354117.56012,8354117.560112769,8321782.43988,8321782.439887231,32335.12024,32335.12022553757
68,132377.85684,2752.2479338910516,529543.00854,-4545.839221519799,34.2209605159,34.22293238671202,0.0,0.0,1.5873,8356528.55202,8356528.552018624,8314471.44798,8314471.447981376,42057.10404,42057.1040372476
69,132329.07407,1432.3423475747252,529352.3077,-5279.622345265306,33.0327467993,33.02394106740692,6.25,6.25,2.08333,8358397.4307,8358397.4306995785,8307802.5693,8307802.5693004215,50594.8614,50594.86139915697
70,132344.36965,79.33794958913882,529416.62394,-5412.0175919423455,33.8571669331,33.855808194350004,8.51064,8.51063829787234,4.92021,8359301.19046,8359301.190451195,8302598.80954,8302598.809548805,56702.38092,56702.38090239093
71,132519.35328,-1048.1676677808075,530119.15099,-4510.022469479786,42.2754572579,42.339589626305326,31.91489,31.914893617021278,15.55851,8357131.84466,8357131.844668753,8300968.15534,8300968.155331247,56163.68932,56163.68933750689
72,132407.56339,-2084.5212360645014,529673.61538,-4145.414273134775,38.8838869085,38.91864889503477,17.02128,17.02127659574468,19.14894,8356762.51856,8356762.518561725,8297837.48144,8297837.481438275,58925.03712,58925.03712344915
73,132519.42735,-2892.9831421139706,530121.58405,-3233.847624197876,43.744202594,43.808070984864806,31.91489,31.914893617021278,26.95035,8355476.3419,8355476.34189686,8296323.6581,8296323.65810314,59152.6838,59152.68379371986
74,132503.67807,-3525.586782418345,530058.28774,-2530.414561217497,43.2154717261,43.27513630385388,30.43478,30.434782608695652,26.45698,8353636.6864,8353636.686395016,8295063.3136,8295063.313604984,58573.3728,58573.372790031135
75,132440.07835,-4070.5858789294325,529803.16239,-2179.9963860443495,41.0767471421,41.120269268202556,23.25581,23.25581395348837,28.53516,8352739.09196,8352739.091963334,8293160.90804,8293160.908036666,59578.18392,59578.18392666802
76,132488.45299,-4474.965454889336,529995.16524,-1617.5183038396153,43.3415290756,43.39677705493191,30.23256,30.232558139534884,27.97438,8350842.8015,8350842.801502242,8292157.1985,8292157.198497758,58685.603,58685.603004483506
77,132473.17378,-4775.76425853343,529931.7265,-1203.1952145763744,42.7516593546,42.80270655718129,27.90698,27.906976744186046,27.13178,8349019.88934,8349019.889349719,8291180.11066,8291180.110650281,57839.77868,57839.778699437156
78,132537.64388,-4921.1696738488545,530186.87179,-581.6216612616981,45.9220777049,45.987764487118135,37.2093,37.2093023255814,31.78295,8345891.69598,8345891.695982445,8291408.30402,8291408.304017555,54483.39196,54483.39196489006
79,132602.47222,-4886.521126733686,530442.53846,138.59418846067365,48.9657641626,49.04356883299757,46.51163,46.51162790697674,37.2093,8342195.72398,8342195.723978181,8292504.27602,8292504.276021819,49691.44796,49691.44795636274
80,132539.99074,-4793.514872014011,530187.86895,372.0250188787013,46.1674253794,46.22704025012599,53.33333,53.333333333333336,45.68475,8339347.1981,8339347.198106667,8292952.8019,8292952.801893333,46394.3962,46394.396213334054
81,132876.53775,-4322.838553237692,531528.64387,1882.705275105276,59.3136365087,59.40730123623325,80.43478,80.43478260869566,60.09325,8339735.10166,8339735.101660414,8292764.89834,8292764.898339586,46970.20332,46970.203320827335
82,133005.71652,-3502.631634263293,532039.5755,3280.8276758975994,63.0186794314,63.11624751623409,97.82609,97.82608695652173,77.19807,8341366.10588,8341366.105870726,8291833.89412,8291833.894129274,49532.21176,49532.211741451174
83,132528.72365,-2976.991581266537,530125.16524,2102.560211987026,46.0744883338,46.104129273646976,31.11111,31.11111111111111,69.79066,8339577.1812,8339577.181196287,8291722.8188,8291722.818803713,47854.3624,47854.36239257455
84,132721.9188,-2465.2970958627957,530890.82337,2046.7779416149679,51.6720004186,51.71087930336089,57.77778,57.77777777777778,62.23833,8338512.92744,8338512.92743279,8292087.07256,8292087.07256721,46425.85488,46425.8548655808
85,132771.36823,-1935.6851338927606,531081.5698,2118.447847880141,52.9858746248,53.02650771230292,60.0,60.0,49.62963,8335970.63704,8335970.637037944,8293429.36296,8293429.362962056,42541.27408,42541.2740758881
86,132916.68661,-1274.604417360162,531655.60684,2644.3228661303947,56.7818798938,56.826696437593554,80.4878,80.48780487804878,66.08853,8338069.94742,8338069.947414488,8292430.05258,8292430.052585512,45639.89484,45639.8948289752
87,133029.97721,-451.1905830116999,532101.4188,3293.655337393848,59.5195670491,59.56658531649754,93.02326,93.02325581395348,77.83702,8342383.89246,8342383.892467067,8290716.10754,8290716.107532933,51667.78492,51667.78493413329
88,132856.0698,256.3355699521631,531398.7094,2830.104611855452,53.7568045937,53.78967149960602,67.44186,67.44186046511628,80.31764,8343884.35822,8343884.358211089,8292115.64178,8292115.641788911,51768.71644,51768.71642217785
89,132857.17308,853.551638656121,531397.25356,2388.864274815831,53.7568045937,53.78967149960602,67.44186,67.44186046511628,75.96899,8344782.53362,8344782.533629482,8294417.46638,8294417.466370518,50365.06724,50365.06725896336
90,132842.11396,1332.420597638795,531332.35897,1915.475835930696,53.2135915995,53.24523080499058,65.11628,65.11627906976744,66.66667,8345223.84712,8345223.847122712,8296976.15288,8296976.152877288,48247.69424,48247.69424542412
91,132762.96225,1629.199843054339,531012.2906,1187.1169816621768,50.4675705315,50.49328425375983,53.48837,53.48837209302326,62.0155,8345637.78514,8345637.785132012,8297962.21486,8297962.214867988,47675.57028,47675.57026402466
92,132715.55484,1744.7146013620718,530820.19658,462.0590332309307,48.8390820299,48.86150264772781,46.51163,46.51162790697674,55.03876,8345257.48212,8345257.482128996,8300142.51788,8300142.517871004,45114.96424,45114.964257992804
93,132827.03205,1848.2651705024346,531265.35043,414.2022765614511,52.6762673459,52.70236961770411,62.7907,62.7906976744186,54.26357,8345811.70862,8345811.708624057,8301388.29138,8301388.291375943,44423.41724,44423.41724811308
94,132858.5235,1966.5847874337474,531391.80057,473.2784677252507,53.7437515498,53.77072327397359,67.44186,67.44186046511628,58.91473,8346359.67526,8346359.675262426,8302940.32474,8302940.324737574,43419.35052,43419.35052485205
95,132730.48647,1955.8412753980715,530881.11966,-42.97404814270476,48.9840286645,49.002680234370885,48.83721,48.83720930232558,59.68992,8345654.40398,8345654.403985233,8305345.59602,8305345.596014767,40308.80796,40308.80797046609
96,132873.54701,2003.8986728447762,531455.47008,192.2295897868189,53.9275068117,53.949908940315964,69.76744,69.76744186046511,62.0155,8345731.6666,8345731.666593879,8307568.3334,8307568.333406121,38163.3332,38163.33318775892
97,132824.849,2033.8615547210197,531263.78348,119.85152750497355,52.1147055835,52.134383628670186,54.28571,54.285714285714285,57.63012,8345010.11266,8345010.112651279,8310389.88734,8310389.887348721,34620.22532,34620.22530255839
98,133079.32692,2301.5475143871263,532284.94302,1070.7438386644244,59.8639276371,59.88747652587968,64.58333,64.58333333333333,62.87883,8347027.95238,8347027.952370113,8311672.04762,8311672.047629887,35355.90476,35355.904740225524
99,132998.49145,2619.1833813022445,531965.50428,1270.5434676604723,56.7720302032,56.79169119057943,54.16667,54.166666666666664,57.67857,8347968.09404,8347968.094040393,8313131.90596,8313131.905959607,34836.18808,34836.188080785796
100,132949.34544,2897.642988783091,531773.5641,1113.8384299233858,54.9385631469,54.956056240025504,47.91667,47.916666666666664,55.55556,8347504.77634,8347504.77634352,8316095.22366,8316095.22365648,31409.55268,31409.5526870396
